w_trajectory,w_stability,w_effort,w_tension_balance,J_trajectory,J_stability,J_effort,J_tension_balance,J_total
10.0,1.0,1.0,0.01,0.009974162200877238,0.24845680596120331,0.4514960934077989,1.014405501760803,0.8098385763953827
10.0,10.0,0.1,0.1,0.010001278424538393,0.045911267135175536,2.4601234174774715,0.1802118007625641,0.823158977421143
10.0,10.0,1.0,0.01,0.009956941660494907,0.045334426532609266,0.456665805894287,1.01128999234107,1.0196923877487396
10.0,10.0,1.0,0.1,0.009991242689504801,0.04476335753402285,0.4526214501321517,0.18204499276518943,1.0183719516439471
100.0,1.0,1.0,0.01,0.0018374123418946871,0.2500575170695955,0.4550057968255679,0.9978181214267604,0.8987827292988997
100.0,1.0,1.0,0.1,0.0018127922390574717,0.24961078723339983,0.460929645981218,0.17962028060889598,0.9097816851812546
100.0,10.0,0.1,0.01,0.0018213553557274978,0.04494357584225521,2.4968421951237616,0.9900436730994742,0.8911559502386728
100.0,10.0,0.1,0.1,0.0018119644505501906,0.04495067758558019,2.508391701488253,0.18331691572598277,0.8998740826322446
100.0,10.0,1.0,0.01,0.0018163649136430187,0.044992435310268926,0.46027260816562715,0.9965686164493893,1.1017991387971122
100.0,10.0,1.0,0.1,0.001812700290477827,0.04574214782029795,0.4626012002628177,0.18106001957176476,1.1193987094707563
